smiles,source_id,molecule_chembl_id,MolWt,LogP,HBD,HBA,TPSA,NumRotatableBonds,NumAromaticRings,HeavyAtomCount,FractionCSP3,QED,standard_value,pIC50,activity_class,activity_label,confidence_score,pchembl_value,assay_chembl_id,predicted_pIC50,potency_score,conf_score,qed_score,composite_score,rank
CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4cccc(Cl)c4c3)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl,,CHEMBL3901024,774.7709999999997,8.000320000000007,1,7,121.68,12,5,53,0.3,0.1372205023215632,30.0,7.5229,1,active,0.8,7.52,CHEMBL3888503,7.389912100858586,0.4502276095125696,0.8,0.1372205023215632,0.47773198340109146,1217
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(Cc2ccc(CN3CCCC3c3ccccc3C3CC3)cc2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5561459,841.003,9.025900000000004,3,10,168.79,15,6,61,0.3191489361702128,0.0670288174241771,47.0,7.3279,1,active,0.8,7.33,CHEMBL5510211,7.540196834913414,0.4841367527225342,0.8,0.06702881742417718,0.47755804717904493,1218
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCC3(CCCN3c3ccccc3Br)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL6013081,844.7890000000001,7.622500000000008,3,11,172.03,11,5,56,0.35,0.0882490545141716,33.0,7.4815,1,active,0.8,7.48,CHEMBL5738376,7.465630803605285,0.4673122212747587,0.8,0.08824905451417166,0.4775273933376094,1219
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(C2=CCC(N3CCCC3c3ccccc3Cl)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5936446,811.3610000000001,8.647000000000006,3,10,168.79,12,5,57,0.3333333333333333,0.0819280371072487,26.0,7.585,1,active,0.8,7.58,CHEMBL5738374,7.43591861857087,0.46060818214696947,0.8,0.08192803710724877,0.4767301680963459,1220
N#C[C@@H](c1ccccc1-c1ccc(Cl)cc1)C1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@H](CCN4CCOCC4)CSc4ccccc4)c(S(=O)(=O)C(F)(F)F)c3)cc2)CC1,,CHEMBL3703614,966.5699999999996,9.23808,2,11,148.91,16,5,65,0.3191489361702128,0.0912326715197426,4.5,8.3468,1,active,0.8,8.15,CHEMBL3707482,7.192464605705401,0.40567700740580104,0.8,0.0912326715197426,0.47644331911536,1221
O=[N+]([O-])c1cc(S(=O)(=O)Nc2ncnc3cc(N4CCN(Cc5ccccc5-c5ccc(Cl)cc5)CC4)ccc23)ccc1N[C@H](CCN1CCOCC1)CSc1ccccc1,,CHEMBL1689140,879.5089999999996,8.276500000000008,2,12,146.07,16,6,61,0.2888888888888888,0.0548389097626928,21.0,7.6778,1,active,0.8,7.68,CHEMBL1693055,7.440369199605669,0.46161237855205145,0.8,0.05483890976269282,0.47630970372323767,1222
CC(=O)Oc1ccc(N(C(=O)c2cn(-c3cc4c(cc3C(=O)N3Cc5ccccc5C[C@H]3CN3CCN(C)CC3)OCO4)c3ccccc23)c2ccc(C)cc2)cc1,,CHEMBL5753100,775.9060000000002,7.385920000000008,0,9,96.79,8,6,58,0.2553191489361702,0.1168183478661085,206.0,6.6861,1,active,0.8,6.69,CHEMBL5732641,7.654653340027193,0.5099618775938285,0.8,0.11681834786610856,0.47621738370243966,1223
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(C2=CCC(N3CCCC3c3ccccn3)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5976895,777.9040000000001,7.388600000000008,3,11,181.68000000000004,12,5,56,0.3414634146341463,0.0848855657532284,30.0,7.5229,1,active,0.8,7.52,CHEMBL5738374,7.445215889733039,0.4627059501024616,0.8,0.08488556575322842,0.4761209132107872,1224
CN(C(=O)c1cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2CN2CCOCC2)CN(S(=O)(=O)c2cccnc2)C3)n2c1CCCC2)c1ccc(O)cc1,,CHEMBL5987615,786.9549999999999,5.472400000000007,1,9,128.51999999999998,8,5,57,0.3409090909090909,0.2195224031986743,70.0,7.1549,1,active,0.8,7.16,CHEMBL5732950,7.373340847817736,0.4464885937298637,0.8,0.2195224031986743,0.4757528382104801,1225
CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@@H](CC5CC5)C(=O)N5CCOCC5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,,CHEMBL4208633,906.4899999999996,6.977500000000008,2,10,145.42999999999998,13,3,61,0.4883720930232558,0.1844841468826336,68.2,7.1662,1,active,0.8,7.17,CHEMBL4182824,7.41615165412477,0.45614810952253004,0.8,0.18448414688263362,0.4757093050057885,1226
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(C2=CCC(N3CCCC3c3ccccc3OC(F)F)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5957647,842.9220000000003,8.595000000000006,3,11,178.02,14,5,60,0.3488372093023256,0.0720534192053725,41.0,7.3872,1,active,0.8,7.39,CHEMBL5738374,7.498687498381619,0.474770891007706,0.8,0.07205341920537256,0.4756358090348643,1227
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(C2CCC(N3CCC[C@H]3c3cccc(C4CC4)c3)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL6059159,818.997,8.961300000000005,3,10,168.79,13,5,59,0.4222222222222222,0.0770414207317418,4.0,8.3979,1,active,0.8,8.4,CHEMBL5738374,7.187624104021536,0.40458483217031527,0.8,0.07704142073174182,0.4754980181626103,1228
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(-c2ccc(N3CCCC3c3cccc4c3OCC4)cc2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5959671,814.921,8.164000000000007,3,11,178.02,12,6,59,0.2727272727272727,0.0802094140284345,42.0,7.3768,1,active,0.8,7.38,CHEMBL5738376,7.486082905972368,0.4719268833857968,0.8,0.08020941402843454,0.47508521750910654,1229
Cc1c(C(=O)N(C)c2ccc(O)cc2)cc(-c2cc(CCN(C(=O)O)c3ccccc3)ccc2C(=O)N2Cc3ccccc3C[C@H]2C)n1C,,CHEMBL3701329,656.7830000000001,7.296820000000009,2,5,106.32,8,5,49,0.225,0.1824408558756989,38.9,7.4101,1,active,0.8,7.41,CHEMBL3705658,7.324403022349318,0.43544662235047255,0.8,0.18244085587569894,0.47330683836893206,1230
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(OC2CCC(N3CCCC3c3ccccc3C3CC3)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5893176,834.9959999999999,8.625100000000007,3,11,178.02,14,5,60,0.4222222222222222,0.0720741738024362,91.0,7.041,1,active,0.8,7.04,CHEMBL5738374,7.581549330957932,0.4934672261021623,0.8,0.07207417380243626,0.4732699861152617,1231
COc1ccc(C(=O)N2Cc3ccccc3C[C@H]2CN2CCCCC2)c(-n2cc(C(=O)N(c3ccccc3)c3ccc(O)cc3)c3ccccc32)c1,,CHEMBL5799114,690.8440000000004,8.376200000000008,1,6,78.25,8,6,52,0.2272727272727272,0.1737251922113578,108.0,6.9666,1,active,0.8,6.97,CHEMBL5732641,7.462332333167396,0.46656797863989846,0.8,0.17372519221135785,0.4725499547409751,1232
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCCCCCCCC(=O)NO)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,,CHEMBL4592343,927.525,9.079300000000002,5,12,212.13,19,5,65,0.3829787234042553,0.0227193817834643,250.0,6.6021,1,active,0.8,6.6,CHEMBL4332203,7.770009093446004,0.5359899022456521,0.8,0.02271938178346437,0.47227357969152745,1233
CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2Cc3ccccc3C[C@H]2CNC2CCN(C)CC2)c(C)c1Cl,,CHEMBL3963300,866.5289999999994,7.399320000000008,2,9,136.95,15,5,61,0.4042553191489361,0.1112219692255323,20.0,7.699,1,active,0.8,7.7,CHEMBL3888503,7.322977739949497,0.43512503210170816,0.8,0.11122196922553237,0.47224100125318075,1234
O=C(NS(=O)(=O)c1ccc(N[C@H](CCN2CCOCC2)CSc2ccccc2)c(S(=O)(=O)C(F)(F)F)c1)c1ccc(N2CCN(Cc3ccccc3-c3ncc(Cl)cn3)CC2)cc1,,CHEMBL3311494,944.5239999999995,6.826500000000008,2,13,154.14,16,5,63,0.3255813953488372,0.099586210019997,21.0,7.6778,1,active,0.8,7.68,CHEMBL3369467,7.344414783108565,0.4399619290164263,0.8,0.09958621001999708,0.4721965739940207,1235
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(c3ccccc3)c3ccc(O)cc3)c3n1CCCC3)CNC2,,CHEMBL5942386,622.7689999999998,7.365700000000008,2,5,77.81,5,5,47,0.25,0.2147192850605259,13.0,7.8861,1,active,0.8,7.89,CHEMBL5732950,7.1287455501370856,0.3912999078683229,0.8,0.21471928506052598,0.47218541691067023,1236
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CC3(CCC(N4CCC[C@H]4c4ccccc4C4CC4)CC3)C2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5881285,860.0499999999997,8.684100000000006,3,11,172.03,13,5,62,0.4468085106382978,0.0764241522568004,34.0,7.4685,1,active,0.8,7.47,CHEMBL5738374,7.437624980475089,0.4609931931099398,0.8,0.07642415225680049,0.4721541602437662,1237
Cc1cc(C(=O)N(c2ccccc2)c2ccc(O)cc2)cn1-c1ccc(Cl)cc1C(=O)N1Cc2ccccc2C[C@H]1CN1CCN(C)CC1,,CHEMBL5983669,674.2449999999997,6.93772000000001,1,6,72.25999999999999,7,5,49,0.25,0.2028095283890106,87.6,7.0575,1,active,0.8,7.06,CHEMBL5732641,7.389864937420908,0.45021696790101434,0.8,0.20280952838901067,0.4718136010181865,1238
CCCCN(C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4c(Cl)ccc(Cl)c4c3)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl)c1cccc(-c2ccc(Cl)cc2)c1,,CHEMBL3960038,939.7489999999996,11.378619999999986,1,7,121.68,11,7,63,0.1666666666666666,0.1378377031076499,40.0,7.3979,1,active,0.8,7.4,CHEMBL3888503,7.373150699292381,0.44644569001367485,0.8,0.13783770310764992,0.4717029915308257,1239
