smiles,source_id,molecule_chembl_id,MolWt,LogP,HBD,HBA,TPSA,NumRotatableBonds,NumAromaticRings,HeavyAtomCount,FractionCSP3,QED,standard_value,pIC50,activity_class,activity_label,confidence_score,pchembl_value,assay_chembl_id
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CN(C(=O)NC(C)(C)C)C2,,CHEMBL6032199,659.8309999999999,6.884300000000008,2,5,98.12,4,4,49,0.375,0.2495897600176456,24.0,7.6198,1,active,0.8,7.62,CHEMBL5732950
CN(C(=O)c1cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2CN2CCOCC2)CN(C(=O)Nc2ccccc2)CC3)n2c1CCCC2)c1ccc(O)cc1,,CHEMBL6008881,778.954,6.963100000000009,2,7,110.59000000000002,7,5,58,0.3404255319148936,0.1850147829542807,4.0,8.3979,1,active,0.8,8.4,CHEMBL5732950
CN(C(=O)c1cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2CN2CCOCC2)CN(C(=O)NCc2ccccc2)CC3)n2c1CCCC2)c1ccc(O)cc1,,CHEMBL5910678,792.9809999999999,6.6408000000000085,2,7,110.59000000000002,8,5,59,0.3541666666666667,0.1825217781396899,4.4,8.3565,1,active,0.8,8.36,CHEMBL5732950
CNC(=O)N1CCc2cc(-c3cc(C(=O)N(C)c4ccc(O)cc4)c4n3CCCC4)c(C(=O)N3Cc4ccccc4C[C@H]3C)cc2C1,,CHEMBL5988103,631.7770000000002,5.758100000000006,2,5,98.12,4,4,47,0.3421052631578947,0.2995027387082256,5.6,8.2518,1,active,0.8,8.25,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccc(O)cc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2C)CN(C(=O)Cc2ccccc2)C3)n1C,,CHEMBL5836984,652.7950000000001,6.654620000000009,1,5,86.09,6,5,49,0.2439024390243902,0.2225768127767222,5.5,8.2596,1,active,0.8,8.26,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CN(C(=O)N(C)C(C)(C)C)C2,,CHEMBL5758353,673.8579999999998,7.2265000000000095,1,5,89.33,4,4,50,0.3902439024390244,0.2477641384284045,21.0,7.6778,1,active,0.8,7.68,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CN(C(=O)N(C)c1ccccc1)C2,,CHEMBL5966512,693.848,7.63260000000001,1,5,89.33,5,5,52,0.2790697674418604,0.2051239587188647,17.0,7.7696,1,active,0.8,7.77,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CN(C(=O)N1CC(c3ccccc3)C1)C2,,CHEMBL5951994,719.8859999999999,7.59560000000001,1,5,89.33,5,5,54,0.3111111111111111,0.2028287959777112,15.0,7.8239,1,active,0.8,7.82,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CCN(C(=O)N1CC(c3ccccc3)C1)C2,,CHEMBL5786581,733.9129999999998,7.63810000000001,1,5,89.33,5,5,55,0.3260869565217391,0.201278631286421,4.9,8.3098,1,active,0.8,8.31,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CN(C(=O)N(C)Cc1ccccc1)C2,,CHEMBL5978766,707.8749999999999,7.628200000000009,1,5,89.33,6,5,53,0.2954545454545454,0.1967169523336532,6.1,8.2147,1,active,0.8,8.21,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CN(C(=O)COc1ccccc1Cl)C2,,CHEMBL5818630,729.2769999999999,7.635200000000008,1,6,95.32,7,5,53,0.2790697674418604,0.1860414151672204,5.5,8.2596,1,active,0.8,8.26,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CN(C(=O)CNc1ccccc1)C2,,CHEMBL5746270,693.848,7.014900000000009,2,6,98.12,7,5,52,0.2790697674418604,0.1911860373318195,5.1,8.2924,1,active,0.8,8.29,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccc(O)cc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2CN2CCOCC2)CN(C(=O)Oc2ccccc2)CC3)n1C,,CHEMBL6023571,753.8999999999999,6.439120000000008,1,8,107.79,7,5,56,0.3111111111111111,0.2040516689520514,3.5,8.4559,1,active,0.8,8.46,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccc(O)cc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2CN2CCOCC2)CN(C(=O)Cc2ccccc2)CC3)n1C,,CHEMBL6020028,751.9279999999998,6.009420000000008,1,7,98.56,8,5,56,0.3260869565217391,0.208834820124501,3.5,8.4559,1,active,0.8,8.46,CHEMBL5732950
C[C@H](C(=O)N1CCc2cc(-c3cc(C(=O)N(C)c4ccc(O)cc4)c4n3CCCC4)c(C(=O)N3Cc4ccccc4C[C@H]3C)cc2C1)c1ccccc1,,CHEMBL5937563,706.8870000000002,7.74900000000001,1,5,86.08999999999999,6,5,53,0.3111111111111111,0.1958165928950241,6.2,8.2076,1,active,0.8,8.21,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CCN(C(=O)[C@H](C)c1ccccc1)C2,,CHEMBL5910246,706.887,7.74900000000001,1,5,86.09,6,5,53,0.3111111111111111,0.1958165928950241,7.0,8.1549,1,active,0.8,8.15,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CN(CC(=O)Nc1ccccc1)C2,,CHEMBL5794438,693.848,7.014900000000009,2,6,98.12,7,5,52,0.2790697674418604,0.1911860373318195,20.0,7.699,1,active,0.8,7.7,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CCN(C(=O)OCc1ccccc1)C2,,CHEMBL5880025,708.8589999999999,7.75550000000001,1,6,95.32,6,5,53,0.2954545454545454,0.1947367456205549,5.1,8.2924,1,active,0.8,8.29,CHEMBL5732950
CN(C(=O)c1cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2CN2CCOCC2)CN(C(=O)OCc2ccccc2)CC3)n2c1CCCC2)c1ccc(O)cc1,,CHEMBL5859126,793.9649999999999,7.06780000000001,1,8,107.79,8,5,59,0.3541666666666667,0.1792938598741527,5.6,8.2518,1,active,0.8,8.25,CHEMBL5732950
CCC(C(=O)N1CCc2cc(-c3cc(C(=O)N(C)c4ccc(O)cc4)c4n3CCCC4)c(C(=O)N3Cc4ccccc4C[C@H]3C)cc2C1)c1ccccc1,,CHEMBL5768211,720.9140000000002,8.13910000000001,1,5,86.08999999999999,7,5,54,0.3260869565217391,0.1840780758530318,14.0,7.8539,1,active,0.8,7.85,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CCN(C(=O)Cc1ccc(NCCN3CCOCC3)cc1)C2,,CHEMBL5743666,821.0349999999994,6.932100000000007,2,8,110.59,10,5,61,0.38,0.1573772695970218,3.9,8.4089,1,active,0.8,8.41,CHEMBL5732950
Cc1ccc(OC(=O)N2CCc3cc(-c4cc(C(=O)N(C)c5ccc(O)cc5)c5n4CCCC5)c(C(=O)N4Cc5ccccc5C[C@H]4CN4CCOCC4)cc3C2)cc1,,CHEMBL6017111,793.9649999999997,7.238420000000008,1,8,107.78999999999998,7,5,59,0.3541666666666667,0.1853203743640882,3.8,8.4202,1,active,0.8,8.42,CHEMBL5732950
Cc1cccc(OC(=O)N2CCc3cc(-c4cc(C(=O)N(C)c5ccc(O)cc5)c5n4CCCC5)c(C(=O)N4Cc5ccccc5C[C@H]4CN4CCOCC4)cc3C2)c1,,CHEMBL5991247,793.9649999999997,7.238420000000008,1,8,107.78999999999998,7,5,59,0.3541666666666667,0.1853203743640882,5.5,8.2596,1,active,0.8,8.26,CHEMBL5732950
