smiles,source,predicted_pIC50,predicted_IC50_nM,MolWt,LogP,QED,AromaticRings,RingCount,is_novel,admet_caco2_class,admet_caco2_risk,admet_hia_class,admet_hia_risk,admet_pgp_substrate,admet_pgp_risk,admet_bioavailability_score,admet_bioavailability_risk,admet_tpsa,admet_mw,admet_logp,admet_bbb_penetrant,admet_bbb_logbb,admet_bbb_risk,admet_ppb_class,admet_ppb_risk,admet_vod_class,admet_vod_risk,admet_cyp_alerts,admet_cyp_n_alerts,admet_cyp_inhibition_risk,admet_cyp_risk,admet_metabolic_stability,admet_metabolic_stability_score,admet_metabolic_risk,admet_renal_clearance,admet_renal_risk,admet_halflife_class,admet_halflife_risk,admet_herg_risk_flag,admet_herg_alerts,admet_herg_n_alerts,admet_herg_risk,admet_ames_alerts,admet_ames_n_alerts,admet_ames_risk,admet_hepatotox_alerts,admet_hepatotox_n_alerts,admet_hepatotox_risk,admet_mrdd_class,admet_mrdd_risk,admet_score,admet_class,admet_absorption_score,admet_distribution_score,admet_metabolism_score,admet_excretion_score,admet_toxicity_score,admet_n_red_flags,admet_n_yellow_flags,admet_n_green_flags
CCc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)c4ccc(NC[C@@H]5COCCO5)c([N+][O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.278600131623383,0.5265018098078603,818.0129999999996,7.517300000000008,0.1015957266121059,5,9,True,low,red,low,red,True,yellow,0.15,red,158.21,818.0129999999996,7.517300000000008,False,-0.253,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,,0,green,aniline,1,yellow,high_dose,yellow,0.366,poor,0.163,0.5,0.25,0.5,0.5,5,9,1
CN1CC2c3c(cnc4[nH]ccc34)Oc3cc(ccc3C(=O)NS(=O)(=O)c3ccc(NC[C@H]4CC[C@](C)(O)CC4)c([N+]=O)c3)N3CCC4(CC3)CC(C4)N2[C@H](c2ccccc2C2CC2)C1,mutation,9.271329123025874,0.5353907665291174,899.1309999999994,8.23050000000001,0.1122581768139915,5,13,True,low,red,low,red,True,yellow,0.0,red,174.29999999999998,899.1309999999994,8.23050000000001,False,-0.303,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,aromatic_nitroso,1,yellow,aniline,1,yellow,high_dose,yellow,0.344,poor,0.125,0.667,0.25,0.5,0.375,5,9,1
CN(C)CCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)S4=CC=C(NC[C@H]5CC[C@](C)CC5)C([N+](=O)[O-])=C4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.267754084075367,0.5398162027817326,986.2539999999996,9.45689,0.0370624042944052,5,9,True,low,red,low,red,True,yellow,0.0,red,183.10999999999999,986.2539999999996,9.456890000000001,False,-0.201,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,,0,green,aniline,1,yellow,high_dose,yellow,0.356,poor,0.125,0.5,0.25,0.5,0.5,5,9,1
CNCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2C2=CC=S(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+][O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)C=C2)CC1,mutation,9.2664157151837,0.5414823247644763,959.2079999999996,8.16440000000001,0.0499955495045525,5,9,True,low,red,low,red,True,yellow,0.0,red,206.14999999999995,959.2079999999995,8.16440000000001,False,-0.632,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,,0,green,aniline,1,yellow,high_dose,yellow,0.381,poor,0.125,0.667,0.25,0.5,0.5,5,8,2
CCc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(CNS(=O)(=O)c4ccc(NC[C@@H]5COC#CO5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.265393419386726,0.5427584338388584,831.9959999999998,7.636100000000008,0.0572687045775002,5,9,True,low,red,low,red,True,yellow,0.0,red,164.18999999999997,831.9959999999998,7.636100000000008,False,-0.294,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
CC1CC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CSO1,mutation,9.255357255158724,0.5554471526806427,892.1170000000001,9.330700000000002,0.0582168924692773,5,10,True,low,red,low,red,True,yellow,0.0,red,172.03,892.1170000000001,9.330700000000002,False,-0.11,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
[C-][N+](=O)c1cc(S(=O)(=O)NC(=O)c2ccc(N3CCC4(CC3)CC(N3CCC[C@H]3c3ccccc3C(C)C)C4)cc2Oc2cnc3[nH]ccc3c2)ccc1NC[C@H]1CC[C@](C)(OC)CC1,mutation,9.255198952233318,0.5556496533802727,900.1589999999998,10.146589999999996,0.0726458634055229,5,9,True,low,red,low,red,True,yellow,0.15,red,148.96999999999997,900.1589999999998,10.146589999999996,True,0.247,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,aromatic_nitroso,1,yellow,aniline,1,yellow,high_dose,yellow,0.328,poor,0.163,0.5,0.25,0.5,0.375,5,10,0
CC1CC(CNc2ccc(S(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC(C)(C)O1,mutation,9.247746435429574,0.5652669118329317,886.132,10.185099999999997,0.0768730121876474,5,10,True,low,red,low,red,True,yellow,0.15,red,154.96,886.132,10.185099999999997,True,0.193,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.291,poor,0.163,0.5,0.25,0.5,0.25,6,9,0
Nc1ncc(Oc2cc(N3CCC4(CC3)CC(N3CCC[C@H]3c3cccnc3C3CC3)C4)ccc2C(=O)NS(=O)c2ccc(NCC3CCOCC3)c([N+](=O)[O-])c2)cc1Cl,mutation,9.2236149735953,0.5975648265338567,855.4619999999998,8.167300000000008,0.0869692371124078,4,9,True,low,red,low,red,True,yellow,0.0,red,178.07999999999998,855.4619999999998,8.167300000000008,False,-0.351,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_amine,aromatic_nitroso",3,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
O=C(NS(=O)c1ccc(NC[C@@H]2COCCO2)c([N+][O-])c1)c1ccc(N2CCC3(CC2)CC(N2CCC[C@H]2c2ccccc2C2CC2)C3)cc1Oc1cnc2[nH]ccc2c1,mutation,9.221976519107567,0.5998235058880869,830.0239999999999,7.832300000000009,0.0999576100858095,5,10,True,low,red,low,red,True,yellow,0.15,red,158.21,830.0239999999999,7.832300000000009,False,-0.204,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,,0,green,aniline,1,yellow,high_dose,yellow,0.366,poor,0.163,0.5,0.25,0.5,0.5,5,9,1
CC(C)c1ccccc1[C@H]1CCCN1C1=CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@@](O)(C(F)(F)F)CC5)c([N+](=O)[O-])c4)c(Oc4cc5cc[nH]c5nc4N)c3)CC2)C1,mutation,9.221193369204675,0.6009061250304193,957.0889999999996,9.694500000000003,0.0552042172346008,5,9,True,low,red,low,red,True,yellow,0.0,red,209.04999999999998,957.0889999999995,9.694500000000003,False,-0.424,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_amine,aromatic_nitroso",3,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
