smiles,source,predicted_pIC50,predicted_IC50_nM,MolWt,LogP,QED,AromaticRings,RingCount,is_novel,admet_caco2_class,admet_caco2_risk,admet_hia_class,admet_hia_risk,admet_pgp_substrate,admet_pgp_risk,admet_bioavailability_score,admet_bioavailability_risk,admet_tpsa,admet_mw,admet_logp,admet_bbb_penetrant,admet_bbb_logbb,admet_bbb_risk,admet_ppb_class,admet_ppb_risk,admet_vod_class,admet_vod_risk,admet_cyp_alerts,admet_cyp_n_alerts,admet_cyp_inhibition_risk,admet_cyp_risk,admet_metabolic_stability,admet_metabolic_stability_score,admet_metabolic_risk,admet_renal_clearance,admet_renal_risk,admet_halflife_class,admet_halflife_risk,admet_herg_risk_flag,admet_herg_alerts,admet_herg_n_alerts,admet_herg_risk,admet_ames_alerts,admet_ames_n_alerts,admet_ames_risk,admet_hepatotox_alerts,admet_hepatotox_n_alerts,admet_hepatotox_risk,admet_mrdd_class,admet_mrdd_risk,admet_score,admet_class,admet_absorption_score,admet_distribution_score,admet_metabolism_score,admet_excretion_score,admet_toxicity_score,admet_n_red_flags,admet_n_yellow_flags,admet_n_green_flags
CN1C[C@H](c2ccccc#2C2CC2)N(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)(O)CC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)CN1,mutation,9.219242050445676,0.6036121173764036,918.1339999999994,7.702980000000009,0.0638922363338054,5,10,True,low,red,low,red,True,yellow,0.0,red,198.3,918.1339999999994,7.702980000000009,False,-0.625,green,high,yellow,high,yellow,"pyridine_N,hydrazine",2,high,red,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep,hydrazine_hep",3,red,high_dose,yellow,0.219,poor,0.125,0.667,0.0,0.5,0.125,8,6,1
CC(C)c1ccccc1[C@@H]1CCON1C1CC2(CCN(c3ccc(C(=O)NS(=O)c4ccc(NC[C@H]5CC[C@@](O)(C(F)(F)F)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.216784624247978,0.6070372974953666,930.0629999999996,9.8625,0.0653525012357552,5,9,True,low,red,low,red,True,yellow,0.0,red,175.18999999999997,930.0629999999996,9.862499999999999,False,-0.059,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
CN(C)CCOC1CC2c3ccccc3C3(CC3)C1N2C1CC2(CC3C(C2)N3c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)C1,mutation,9.213743664869025,0.6113027297651017,943.1399999999996,7.528000000000008,0.0532522000096268,5,12,True,low,red,low,red,True,yellow,0.0,red,184.27,943.1399999999996,7.528000000000008,False,-0.512,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso,aziridine",3,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
COc1cc(S(=O)(=O)NC(=O)c2ccc(-c3ccc(N4CCC[C@@H]4c4ccccc4C4=CCN(C)CC4)c(C)c3)cc2Oc2cnc3[nH]ccc3c2)cc([N+](=O)[O-])c1NC[C@H]1CC[C@](C)(O)CC1,mutation,9.207854782654564,0.6196482355016352,940.1359999999996,9.77962,0.0598008507583358,6,9,True,low,red,low,red,True,yellow,0.0,red,192.26,940.1359999999997,9.77962,False,-0.243,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
CC1(C)CC(CNc2ccc(S(=O)(=O)NC(=O)c3cc(F)c(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+]([O-])=S)CCO1,mutation,9.205047496493512,0.6236666246280699,922.162,9.5659,0.0764231769420286,5,10,True,low,red,low,red,True,yellow,0.0,red,154.95999999999998,922.1619999999999,9.565900000000001,True,0.097,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,,0,green,aniline,1,yellow,high_dose,yellow,0.356,poor,0.125,0.5,0.25,0.5,0.5,5,9,1
CN1CCN2C3CC4(CCN(CC4)c4ccc5c(Oc6cnc7[nH]ccc7c6)c4-c4cccc(c4[C@@H]2C1)C1CC1C1C[C@@](C)(O)CC[C@@H]1CNc1ccc(cc1[N+](=O)[O-])S(=O)(=O)NC5=O)C3,mutation,9.19765131674326,0.6343788324030958,913.1139999999998,7.796500000000009,0.1018829931572031,5,15,True,low,red,low,red,True,yellow,0.0,red,186.26999999999998,913.1139999999998,7.796500000000009,False,-0.49,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.25,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.331,poor,0.125,0.667,0.375,0.5,0.25,6,8,1
CO[C@]1(C)CC[C@@H](CNc2ccc(S(=O)(=O)NCc3ccc(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C(C)C)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+]=O)CC1,mutation,9.194910462059047,0.6383950897274845,874.1650000000001,10.284099999999995,0.0936726405074361,5,9,True,low,red,low,red,True,yellow,0.15,red,142.98999999999998,874.1650000000001,10.284099999999997,True,0.328,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,aromatic_nitroso,1,yellow,aniline,1,yellow,high_dose,yellow,0.353,poor,0.163,0.667,0.25,0.5,0.375,5,9,1
CC1(C)CC(CNc2ccc(S(=O)(=O)NCc3ccc(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CCO1,mutation,9.192445734072034,0.6420284391803653,874.121,9.8225,0.0725697732571671,5,10,True,low,red,low,red,True,yellow,0.15,red,154.96,874.121,9.8225,True,0.137,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.291,poor,0.163,0.5,0.25,0.5,0.25,6,9,0
O=C(NS(=O)c1ccc(NC[C@@H]2COCCO2)c([N+](=O)[O-])c1)c1ccc(N2CCC3(CC2)CC(N2CCC[C@H]2c2ccccc2C2CC2)C3)cc1Oc1cnc2[nH]ccc2c1,mutation,9.191323351163836,0.6436898319325164,846.0229999999998,8.006800000000009,0.0777220193438865,5,10,True,low,red,low,red,True,yellow,0.0,red,164.18999999999997,846.0229999999998,8.006800000000009,False,-0.237,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
CC(C)c1ccccc1[C@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@@](O)(C(F)(F)F)CC5)c([N+])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.183656750145405,0.6551537781423633,912.0919999999996,9.7791,0.0955099604475411,5,9,True,low,red,low,red,True,yellow,0.15,red,162.18999999999997,912.0919999999995,9.7791,True,0.058,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,,0,green,aniline,1,yellow,high_dose,yellow,0.366,poor,0.163,0.5,0.25,0.5,0.5,5,9,1
CN1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC5C6C[C@@](C)(O)CC[C@@H]65)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2O)CC1,mutation,9.18242558642857,0.6570136819088673,910.0659999999996,8.776500000000004,0.0577870647806587,6,10,True,low,red,low,red,True,yellow,0.0,red,203.26,910.0659999999997,8.776500000000004,False,-0.508,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
CN(C)CCOC1CC(c2ccccc2C2CC2)N(C2CC3(CCN(c4ccc(C(=O)NS(=O)C5=CC=S(NCC6CCOCC6)C([N+](=O)[O-])=C5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)C1,mutation,9.173260327357648,0.6710265016881116,951.2289999999996,7.786800000000008,0.0535289065461238,4,10,True,low,red,low,red,True,yellow,0.0,red,167.42999999999998,951.2289999999996,7.786800000000008,False,-0.303,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,,0,green,aniline,1,yellow,high_dose,yellow,0.381,poor,0.125,0.667,0.25,0.5,0.5,5,8,2
CN1CCN(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)CC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)[C@H](c2ccccc2C2CC2)C1,mutation,9.1708043905156,0.6748319085989544,900.1389999999998,9.193690000000002,0.0762088875744328,5,10,True,low,red,low,red,True,yellow,0.0,red,166.04,900.1389999999998,9.193690000000002,False,-0.071,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
CNCCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.170629481297585,0.6751037474048893,952.1709999999996,9.902589999999998,0.0533345588340775,6,9,True,low,red,low,red,True,yellow,0.0,red,191.9,952.1709999999996,9.902589999999998,False,-0.22,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
CO[C@]1(C)CC[C@@H](CN2c3ccc(cc3[N+]([N-])=O)S(=O)(=O)N2C(=O)c2ccc(N3CCC4(CC3)CC(N3CCC[C@H]3c3ccccc3C(C)C)C4)cc2Oc2cnc3[nH]ccc3c2)CC1,mutation,9.168637483170151,0.6782073886379056,900.1389999999998,10.389499999999998,0.1000838694945201,5,11,True,low,red,low,red,True,yellow,0.15,red,153.69,900.1389999999998,10.389499999999998,True,0.237,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,aromatic_nitroso,1,yellow,aniline,1,yellow,high_dose,yellow,0.328,poor,0.163,0.5,0.25,0.5,0.375,5,10,0
CN(CC1CCOCC1)C(=O)Nc1ccc(S(=O)NC(=O)c2ccc(N3CCC4(CC3)CC(N3CCC[C@H]3c3ccccc3C3CC3)C4)cc2Oc2cc3cc[nH]c3nc#2)cc1[N+](=O)[O-],mutation,9.158986473873911,0.6934474031386559,900.0949999999999,8.407580000000008,0.0814803774122616,5,10,True,low,red,low,red,True,yellow,0.15,red,175.26999999999998,900.0949999999999,8.407580000000008,False,-0.286,yellow,high,yellow,high,yellow,,0,low,green,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.341,poor,0.163,0.5,0.5,0.5,0.25,6,8,1
O=[N+]c1cc2ccc1NC[C@H]1OCCOC1c1cccc(c1C1CC1)[C@@H]1CCCN1C1CC3(CCN(CC3)c3ccc(c(Oc4cnc5[nH]ccc5c4)c3)C(=O)NS2(=O)=O)C1,mutation,9.156064886556782,0.6981280911879089,844.0070000000002,7.553100000000008,0.1633606914986358,5,17,True,low,red,low,red,True,yellow,0.0,red,169.29,844.0070000000002,7.553100000000008,False,-0.358,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.25,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,aromatic_nitroso,1,yellow,aniline,1,yellow,high_dose,yellow,0.369,poor,0.125,0.667,0.375,0.5,0.375,5,9,1
[C-][N+]c1cc(S(=O)(=O)NC(=O)c2ccc(N3CCC4(CC3)CC(N3CCC[C@H]3c3ccccc3C3CC3)C4)cc2Oc2cnc3[nH]ccc3c2)ccc1NCC1CCC(O)(C(F)(F)F)CC1,mutation,9.147027751679984,0.7128074798422359,922.087,9.614389999999998,0.0846109023978327,5,10,True,low,red,low,red,True,yellow,0.15,red,153.98999999999998,922.087,9.614389999999998,True,0.114,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,,0,green,aniline,1,yellow,high_dose,yellow,0.366,poor,0.163,0.5,0.25,0.5,0.5,5,9,1
CN1C=CN(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)(F)CC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)[C@H](c2ccccc2C2CC2)C1,mutation,9.144212733695756,0.7174427748556794,917.1209999999998,9.798699999999998,0.0760451790656982,5,10,True,low,red,low,red,True,yellow,0.0,red,166.04,917.1209999999998,9.798699999999998,True,0.022,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
O=C(NS(=O)(=O)c1ccc(NCC2CCC(C(F)F)CC2)c([N+](=O)[O-])c1)c1ccc(N2CCC3(CC2)CC(N2CCC[C@H]2c2ccccc2C2CC2)C3)cc1Oc1cnc2[nH]ccc2c1,mutation,9.139923500944056,0.7245635775108792,908.0849999999996,10.328999999999995,0.0722043637110986,5,10,True,low,red,low,red,True,yellow,0.15,red,162.79999999999998,908.0849999999996,10.328999999999995,True,0.137,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.291,poor,0.163,0.5,0.25,0.5,0.25,6,9,0
CO[C@]1CC[C@@H](CNc2ccc(S(=O)(=O)NCc3ccc(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C(C)C)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,mutation,9.124315972554111,0.7510762468876832,875.129,10.231889999999996,0.0683819906869821,5,9,True,low,red,low,red,True,yellow,0.15,red,154.96,875.129,10.231889999999996,True,0.2,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.291,poor,0.163,0.5,0.25,0.5,0.25,6,9,0
Nc1ncc(Oc2cc(N3CCC4(CC3)CC(N3CCC[C@H]3c3cccc5c3C3CC53)C4)ccc2C(O)NS(=O)(=O)c2ccc(NCC3CCOCC3)c([N+](=O)[O-])c2)cc1Cl,mutation,9.123989938891118,0.7516403067362702,870.4729999999997,7.996200000000011,0.057767631222654,4,10,True,low,red,low,red,True,yellow,0.0,red,185.42,870.4729999999997,7.996200000000011,False,-0.451,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_amine,aromatic_nitroso",3,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
O=C(NS(=O)(=O)c1ccc(NC[C@@H]2CSCSO2)c([N+](=O)[O-])c1)c1ccc(N2CCC3(CC2)CC(N2CCC[C@H]2c2ccccc2C2CC2)C3)cc1Oc1cnc2[nH]ccc2c1,mutation,9.12213296466754,0.7548610821562913,896.1299999999998,8.995200000000004,0.0581614499929069,5,10,True,low,red,low,red,True,yellow,0.0,red,172.03,896.1299999999998,8.995200000000004,False,-0.162,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
CN(C)CCOC1CC(c2ccccc2C2CC2)N(C2CC3(CCN(c4ccc(CNS(=O)(=O)C5=CC=S(NCC6CCOCC6)C([N+](=O)[O-])=C5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)C1,mutation,9.116137604045964,0.7653540698605794,953.2449999999995,7.812700000000008,0.0503882988900905,4,10,True,low,red,low,red,True,yellow,0.0,red,167.42999999999998,953.2449999999995,7.812700000000008,False,-0.299,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,,0,green,aniline,1,yellow,high_dose,yellow,0.356,poor,0.125,0.5,0.25,0.5,0.5,5,9,1
CN1CCN(C2CC3(CCN(c4ccc(C(=O)NS(=O)c5ccc(NC[C@H]6CC[C@](C)CC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)[C@@H](c2ccccc2C2CC2)C1,mutation,9.105316692615173,0.784663240325841,884.1399999999998,9.52759,0.077143788815329,5,10,True,low,red,low,red,True,yellow,0.15,red,148.97,884.1399999999998,9.52759,True,0.151,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.291,poor,0.163,0.5,0.25,0.5,0.25,6,9,0
CCc1ccncc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.089849137730605,0.8131129207588582,849.0269999999995,7.764100000000009,0.0774044119960063,5,9,True,low,red,low,red,True,yellow,0.0,red,184.92,849.0269999999995,7.764100000000009,False,-0.482,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
CC(C)c1ccccc1[C@@H]1CN(C)CCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CC[C]CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.086921198848929,0.818613309061804,887.1199999999994,8.926590000000004,0.0763580427553803,5,9,True,low,red,low,red,True,yellow,0.0,red,166.04,887.1199999999994,8.926590000000004,False,-0.113,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
CN(C)CCOC1CC(c2ccccc2C2CC2)N(C2CC3(CCN(c4ccc(C(=O)NS(=O)c5ccc(NCC6CCOCC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)C1,mutation,9.074320699043746,0.8427122381868083,931.1729999999995,8.574700000000005,0.060153136678553,5,10,True,low,red,low,red,True,yellow,0.0,red,167.42999999999998,931.1729999999995,8.574700000000005,False,-0.181,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
CN(CC1C#COCC1)C(=O)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC4(CC3)CC(N3CCC[C@H]3c3cc(Cl)ccc3C3CC3)C4)cc2Oc2cnc3[nH]ccc3c2)cc1[N+](=O)[O-],mutation,9.069369167481964,0.8523752533122034,947.515,8.960100000000004,0.0579916588211099,5,10,True,low,red,low,red,True,yellow,0.0,red,192.33999999999997,947.5149999999999,8.960100000000004,False,-0.371,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
CO[C@]1CC[C@@H](CNc2ccc(S(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C(C)C)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,mutation,9.065232024337332,0.8605338841501645,873.113,10.205989999999996,0.0725426301306499,5,9,True,low,red,low,red,True,yellow,0.15,red,154.96,873.113,10.205989999999996,True,0.196,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.291,poor,0.163,0.5,0.25,0.5,0.25,6,9,0
CCc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(CNS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.058941066539017,0.8730898380372931,834.0559999999996,8.728900000000005,0.0731114570165267,5,9,True,low,red,low,red,True,yellow,0.15,red,154.96,834.0559999999996,8.728900000000005,False,-0.033,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.291,poor,0.163,0.5,0.25,0.5,0.25,6,9,0
[C-][N+](=O)c1cc(S(=O)NC(=O)c2ccc(N3CCC4(CC3)CC(N3CC(OCCN(C)C)CC3c3ccccc3C3CC3)C4)cc2Oc2cnc3[nH]ccc3c2)ccc1NCC1CCOCC1,mutation,9.041664836186596,0.9085214049124528,927.1849999999998,8.622490000000006,0.0609387277517466,5,10,True,low,red,low,red,True,yellow,0.0,red,144.36999999999998,927.1849999999998,8.622490000000006,True,0.057,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,aromatic_nitroso,1,yellow,aniline,1,yellow,high_dose,yellow,0.319,poor,0.125,0.5,0.25,0.5,0.375,5,10,0
CCC1COCCC1CNc1ccc(S(=O)NC(=O)c2ccc(N3CCC4(CC3)CC(N3CCC[C@H]3c3ccccc3C3CC3)C4)cc2Oc2cnc(N)c(Cl)c2)cc1[N+](=O)[O-],mutation,9.03050653397547,0.932166445759756,882.528,9.408400000000004,0.0816353380614155,4,9,True,low,red,low,red,True,yellow,0.0,red,165.19,882.528,9.408400000000004,False,-0.03,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_amine,aromatic_nitroso",3,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
CCc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)C4=CC=S(NCC5CCOCC5)C([N+]=O)=C4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.023120817317135,0.9481546574223164,852.0959999999994,7.406700000000008,0.1157278976767167,4,9,True,low,red,low,red,True,yellow,0.0,red,160.05999999999997,852.0959999999994,7.406700000000008,False,-0.289,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,,0,green,aniline,1,yellow,high_dose,yellow,0.356,poor,0.125,0.5,0.25,0.5,0.5,5,9,1
